. سميج . ربرث						      |	* سممح . رسصارت
ءابنالا تالاكو تماقو . ةلوهسب هعفدت نا ةديرجلا عسوب ًالوقعم ًاك |	ءابنالا تالكو تماقو .ةلوهسب هعفدت نا ةديرجلا عسوب ًالوقعم أك ا
. ةيرشبلا اهاوقل طيطختلا ىلع ةسسؤملا			      |	. ةيرشسملا اهاوقل طيطختلا ىلع ةسسؤملا
. لخدلا ىوتسم طوبه متحتيف فيظوتلاو			      |	. لخدلا .ىوتسم طوبه ممحتبف فيظوتلاو
نويع ناهرلا موي اهب تقلع اـهنا ال اـهقبس ةعاسب تفرع	      |	اكوبع تاهرلا::موي اب تقلع ابهنا ال اهقبس ةعاسن ٍتفرع
تضق ثيحب ينامورلا مالسلا بابشلا دهع يف ةيريشبتلا برحلا تطشن د |	تضق ثدحيلام ورلا مالسلا باشلا دهعيف ةيريشدتلا ب رخا تطشن دقف.
لب ًاـعبارم سيل هناف لوصحملا نم هتصخ ذـخأي ناك ناو عرازملا نا  |	لب ًاعبارم سل هناف لوصحملا نم هتصخ ذخأي ناك ناو عرازملا نا ا .
. عمتجملا ةحلصم عم وا نيرخآلا قوقح عم ضراعتت ال تماد ام اهدكؤ |	. عمتجملا ةحلصم عم وأ نيرخآلا قوقح عم ضراعتت ال تماد ام اهدئو
يفو ريصملا ريرقت يف نيينادوسلا قحبً اديوط ًاناميا ةيرصملا ةموكح |	ىفوريصملا ريرقت ىف ثيينادوسلا قحي ًاديطو ًاناعا ةيرصملا ةموكملا
هبولساو . حالصالا لجا نم ةقداص ةينطو ةبغرب هتجلاعم يف عوفدم ف |	ةيولساو . حالصالا لجأ نم ةقداص ةينطو ةيغرب هتجلاعم يف عوفدم ف
لاملا مئارج وا لجرلا نيا				      |	لاخلا تارج وأ لحرلا نا
نانبل - توريب						      |	نانتل - توزيتب 
نم لئاسلا ركسلل لمعمو ةيعارز تاعانصو ديدحلل رخآو قرولا لمعمو  |	عرم لئاسلا ركسلل لمعمو ةععارز تاعانضو ديدحال رخنآو قرولا لمعف
لمحتتل ةيعيرشتلا سلاجملا هذه ةيوقت مويلا ةيطارقميدلا تابجاو م |	لئختتل ةيعيرشتلا سلاجملا هذه ةنوقت مويلا ةيطارقيدلا تابجاو مه
ةدحتملا ممالا اهب تصوا يتلا فيراعتلا عم قفتت لوالا ريرقتلل ةم |	ةدحتملا مهالا ا,تصوأ ىبلا فيراعتلا عم قفتت لوالا ريرقتلل ةمدق
تاريخلا هذه ىلع اولصحيل مهعسو يف اـم لك اولمعي نا مهبولق يف ا |	تاريكبا .هذه ىلع اواصخبل ميعسو يف ام لك اواءعي نا مهبواق يف ا
وا ةلادعلا ققحيل نكي مل ماظنك وهو . سسالا هذه هل اـملاط كلذ س |	وأ ةلادعلا ققحيل نكي مل ماظنك وهو . سسالا هذه هلا ح لاط كلذ س
ررحم يتيام نم برقي ام ةيكريمالا دئارجلا ضعب ريرحت مسق يف تدها |	ررحع يتبام نم برقي ام ةيك ريمالا دئارطا ضعب ريرت مسق ىف تدهاش
. تانب ثالثو						      |	. تانش ا ثالثو
ةربخلا لها مامتها ريثي نأب ريدج نابانكلا اهاوتحا يتلا ةداملا  |	ةريللا لها ماتها ريث تأب ردح تاباتكلا اهاوتحا قلا ةدالا نم.رب
ةيميظنتلا ةطلسلا					      |	ةميظتتلا ةطلسلا
اـمبر وا انب بهشلا تراغ					      |	امير ىا انب ببشلا .تراغ
ًاحاحلإ دشا ليماسرلا ىلا ةجاحلا تحبصا نيئجاللا ليس قفدتبو . اه |	احالإ دّسا ليماسرلاىلا ةجاطلا تحصا نيثحاللا لهسؤةدتيو .اهناكتس
ريبكلا جاتنالا نمضتي ينفلا ءامنالا نا ريغ . ةدحتملا تايالولاو |	ريبكلا جاتنالا نمضتي ينفلا ءانالا نأ ريغ.ةدحتملا تالايولاو اب
لصح وا ةباتكلا ءانثا أطخلا نم ءيش ديلولا ةملك ىلع أرط - أ : ت |	لصح وا ةياتكلا ءانثا أطخلا نم ءىش دملولا ةملك ىلع أرط -أ : تا
ةغللا لخدت يتلا ةديدجلا يناعملا نا ظحالن ةيناث ةهج نمو	      |	ةغللا لخدت ىتلا ةديدجلا يناعملا نا ظحالن ةيناث ةبج نمو
. اـهيلع ءاقبالا نم نالا ىتح اشاب مازع			      |	. اهملع ءاقبالا نم نالا ىتح اساب مازع
عورشملا ةمدقم يف نيئجاللا ةـثاغا ةئيهل ماعلا ريدملا رفراك يلس |	عورشملا ةمدقم يف نيئِجاللا ةئاغأ ةئيهل ماعلا ريدملا رفراك ىلسل
. ةنيعم دودح اهل قطانم نع نيلوؤسم نييرادا		      |	.ةنىم دودح ال قطانم نع نياوؤسنيدرادا
ىلا طيحملا نم قيرط وه اهنم عاعش لكو . قرطلا ىلا زمرتف هعشالا  |	ىلا طيمملا نم قيرط وه ابنم عاعُش لكو .قرطلا ىلا زمرتف هعشالا ا
. ةغللا صخت تاحلطصمو - ىنعملا نم - ةيونعم تاحلطصم نيب	      |	. ةغللا صخت تاحلطصمو  ىنعملا نم  ةيونعم تاحلطصم نيب
تاعورشملاا هذه ذيفنت متي فيك . . وه لاجملا اذه يف هتراثا نم د |	تاعورسملا هذه ذيفنت متي فيك ..وه لاجما اذهيف هتراثا نم دب ال 
. يناليكلا ءايمل ةسنالل روصعلا مدقا ذنم طسوالا قرشلا	      |	. يناليكلا ءامل ةسنالل روصعلا مدقا ذنم طسوالا قرشلا
مجن فسوي دمحم						      |	.مجت فسون دمح
ةعوطقم ةروصب مزاوللا هذه ردقت . تاعطقلل ةيداعلا تاصصخملا نع ة |	ةعوطقم ةروصب مزاوللا هذه ردقت . تاغطقلل ةيداعلا تاصصخما نع ةد
اـهيمسي ةيبرتلا نم ًاعون يسابعلا رصعلا يف كانه نا ىري اًلثم يتح |	اهيمس ةيبرتلا نم ًاعون ىسايعلا رصعلا يف كانه نا ىري الثم ّىح رو
ةعيبطلا رعش						      |	ةعماطلا رعش
. ةماركلاو قحلا عالق نم ةخسار ةعلق			      |	. ةماركلاو ىلا عالق نم ةخسار ةعلق
. ةرقنا يف ضوفملا ندرالا ريزوو ناتسكابلا		      |	. ةارقثا يف ضوفملا ثدرالا رزوو تاتسك املإ
ىلا برقا دهعلا كلذ فرع يف وهف . اهعرزي يتلا ضرالا نم ًاءزج تقو |	ىلا برقا دبعلا كلذ فرع يف وبف . ابعرزب ىتلا ضرالا نم ًاءزج تقو
. هيف مهكامسأ نوعيبي رخآ عضوم ىلا نورجهيو كامسألا	      |	. هيف مهك امسأ نوعيبي رخآ عضوم ىلا نورجبيو كامسألا
وكسوم يف ةدحتملا ةيبرعلا ةيروهمجلا ةرافس نع ردص نايب يف ملاس  |	وكسوهيف ةدحتملا ةيبرعلا ةيرويمحا ةرافس نع ردص تايبيف ملاس حال
يقالخالا رايتلا بايسنا وه يناثلا فرطلاو سلدنالا بدأ نع عافدلا |	يقالخالا رايثلا بايسنا وه يناثلا فرطلاو سادناألا بدأ نع عافدل
ال نيذلا ليجانالاو ةاروتلا ءاملع ددع نوكي نا ىشخاو . ةىيخيرات |	ال نيذلا لمحانالاو ةاروتلا ءامع ددع نوكي نا ىشخاو . ةمخراتلا 
راطخا ءردو نزخلاو فيرصتلاو يرلا عيراشم نع ًادج ةرصتخمب ةرظن هذ |	راطخا ءردو نزلاو فيرصتلاو يرلا عيراشم نع ًادج ةرصتخم ةرظن هذه
دوجو ىلع ةمزاج ةروصب لدت اـهيف ةيباينلاو ةيدلبلا تاباختنالا ر |	دوجو ىلع ةمزاج ةروصب لدق ا بمف ةيباسشلاو ةيدلبلا تاباختنالا ر
. مهلكاشملو ةيعامتجالا ةمدخلا لقح يف لامعلل اهسفن سركتو	      |	٠ مهاك اشملو ةيعاتجالا ةمدخلا لقح يف لاعلل اهسفن سركتو
امدنعو خلا . . بيبطو مكاحو يرادا فظوم اهلو ةرادا سلجمو يدلب س |	امدنعو خلا .. بيبطو 5 احو يرادا فظوم املو ةرادا سلجمو ىدلب سل
ليجلا يف ةركاب ةيلمع يه ةبورعلا ءاحنا عـيمج ىلع تادرفملا ةمئا |	ليجلايفةركاب ةيلمع يه ةيورعلا ءاحنأ ميمج ىلع تادرفملا ةّماق مم
تدقعت عمتجم يف ةيعامتجا ةايح اوشيعي نال دارفالا دادعا اـهنم ض |	تدقعت عمتجم يف ةيعاّتجا ةايح اوثيعي نال دأرفالا دادعا اهنم ضرغ
. ةـيعامج تاقافتا قيرط نع رحلا ملاعلا راطقا نيب ةراجتلا عيسوت |	. ةيعاج تاقافتا قيرط نع رخلا ملاعلا راطقأ نيب ةراجتلا عيسوت ى
. نانبل يف ًايبسن بلغت ةيراجتلا ةفصلا نا ولو نايراجت نادلب اير |	. نانمل يف ًاسسن فبلغت ةءراحتلا ُةفضلا نا ولو نارراُت نادلب ابرو
ةريثكلا مولعلا نم دادمتسا هلو لدجلا ملع نم ةطبنتسم هئدابمو .  |	ةريثكلا مولعلا نم دادمتسا هلو لدحلا ملع نم ةطبنتسم هئدابمو .ه
ةكرتشملا تاسلجلا					      |	ة* رثشملا تاساملا
. مهدماحم الملا يف ًارشانو				      |	. مهدما# الملا يف ًارشانو
لوالا هدع دقف . توقايو يدوعسملا مهزربا نم ءايوقا ءارصن يبلكلا |	لوالا.دع دقف .٠ توقايو يدوعبسملا مززبا ن.ه ءايوقا ءارسعن يلكل
اولحف ةئيسلا لاحلا كلتب انودجوف انيلا موقلا لبقاف انتلمحي انح |	اولحف ةئيسلا لاحلا كلتب انودحوف انملا موقلالمقاف انتلمح انحصف
ريـنلا تحت تعقو يتلا نادلبلا هذه يف راج وه امب ربتعي ال نمو . |	رينلا تحت تعقو ينلا نادلبلا هذه يف ٍراج وه اب ربتعي ال نمو . د
اـهنكلو ! قيش لهس سرد نم هل اي ! ةينفلا هنازيمو يلهاجلا رعشلا |	ابنكلو ! ىتش لهس سرد نم هلاي ! ةينفلا هتأازيمو ىلهالا رعشلا ض
يف لب نيطسلف ىلا مهتدوع يف نوكي ال مهصالخو . ساـنلا ىلع هورشن |	يف لب نيطسلف ىلا مهتدوع يف ثوكي ال مهصالخو . ساالا ىلع هورشنب
نطاوملا ىتح همعدي مل اذا ًاقالطا حالصإلا اذـه يرجي ال دقو . سا |	نطاوملا ّيح همحدي مل اذا ًاقالطا حالصإلا اذه يرحي ال دقو . سانل
. رمالا اذهب ةينعملا نادلبلا عميج ةراشتسا كلذ ولتي نا يغبني ه |	.رمالا اذهب ةينملا نادلبلا ميج ةراشتسا كلذ ولتي نا يثبني هنأ 
. اهتينازيم						      |	. اهتينارلم
ةليسو ريخو . ةكرتشملا ةيئاشنالاو ةيعينصتلا جماربلا ذيفنتو عضو |	ةلمسو ريخو . ةكرتشملا ةيئاشناللو ةيعينصتلا جماربلا ديفنتو عضو
. انرظن ةهجو معدي ام ابوروا يفو ةيكريمالا		      |	, انرظن ةبحو معدي ام ابوروا ٍثو ةيك ريمالا
ةمزاللا قوسلا نامضو ةيلحملا دراوملا ىلا تاعانصلا هذه دانتسا م |	ةمزاللا قوسلا نامضو ةيلحملا دراوملاىلا تاعانصلا هذه دانتسا مو
معدب ةيئاضقلا تائيهلا هذه تعتمت دقو . اهدهعتو دارفالل ةعورشمل |	معدب ةيئاضقلا تائمهلا هذه تعتم دقو . اهدبعتو دارفالل ةعورشملا
. ةرادالا فرصت تحت يتلا ةيجاتنالا			      |	. ةرادالا فرصت تحن ىتلا ةيحاتنالا
براجت هيلا تهتنا امبسح فيرلا ةمدخل نيئيهمو ادادعا نيدعم اصاخش |	براجت هيلا تيتنا امسح فيرلا ةمدخل نيئيبمو ادادعا نىدعم اصاخشا
عئاقولا لسلستو ثدحلا ىلع دمتعت يتلا ةيمحلملا لامعألا يف هدهشن |	عئاقولا لسلستو ثدحلا ىلع دمتعت يىلا ةيمحلملا لامعألا ين هدهشن
ةلود يا ءازا يناودع لمع ياب مايقلا مزتعت ال ةيرتشملا ةلودلا ن |	ةلود يا ءازا يلاودع لمع ياب مايقلا مزتعت.ال ةيرتشملا ةلودلا ن
ةرواجملا ممالا نع مالكلا ىلا اهنزواجتي دقو ةيبرعلا دالبلا راب |	ةرواجتا ممالا نع مالكلا ىلا اهنوزواجتي دقو ةيبرعلا دالبلا راب
ةرمغ يف اهفالتخا ىلع مهراثآ ترمطناف دمألا ليوط مظنم داهطضال ا |	ةرمغ يف اهفالتخا ىلع مهراثا ترمطناف دمألا ليوط مظنم داهطضال ا
نا وه ةـحنجالاو شارفلا نيب قرفلا نكل . ةرئاطلا ةحنجا عطقم هبا |	ّتمأ وه ةحئجالاو شارفلا نيب قرفلا نكل . ةرئلا ةمتجا مطقم هباشب
خيراتلا مهفت ىلع امئاق ًافطع اهتيضقو ةأرملا ىلع ًافطع ءالتما دق |	نيراتلا مهفت ىلع .امثاق افطع !متيضقو ةأرملا ىلع أفطع ءالتما د
؛ ةلودلا ةدايس ةيرظن : ةيسيئر مئاعد ثالث ىلع يبرغلا ةلودلا ما |	؛ ةلودلا ةدايس ةيرظن : ةيسيئر متاعد ثالث ىلع يبرغلا ةلودلا ما
بيهصل هللا رفغ - ١					      |	بيسصل هللا رفغ -أ
نورشعلاو ةسماخلا ةداملا					      |	نورشعلاو ةسماخلا ةداملأ
نيتئام ىلاوح ةدوع ىلع تقفاو ليئارسا نا سدقلا يف ةندهلا ةبقارم |	نينثام ىلاوح ةدوعلع تقفاو لمئارسا نا سدقلا يف ةندحلا ةيقارم ة
ىلع وا - ةيملاعلا حمقلا ةراجت يف ًاماه ًازكرم ايروسل نا ةلهو لو |	ىلع وا - ةيملاعلا ميمقلا ةراحت يف أماه ًازكر م ايروسل نأ ةلهو 
. ةينيلرتسا ةريل فلا نيثالث				      |	. ةينلرتسأ ةريأ فلا نيثالث
ةيرامعتسالا رشع عساتلا نرقلا ةسايس قيبطت يف رارمتسالا يلا ةـي |	ة:رامعتسالا رشع عساتلا نرقلا ةسايس قيبطت يف رارمتسالا يىلا ةب
أدب دق ناك هاجتالا اذه نا يف كش الو . ركفلاو لقعلا ةيمنتو كول |	ًادب دق نراك هاجتالا اذه نا يف كش الو . ركفلاو :لقعلا ةسئتو كو
: ةريخالا تاونسلا					      |	: ةريشالا تاوئسلا
عومجم يف ًادج ةريبك ةيمها اهل نوكي دق هذهو نانبل يف لامع ةثالث |	عومج . يف ًادج ةريبك ةيمها ال نركي دق هذهو نانيل. ىف.لاع ةثالث
ناـطلسلا ةوق تأدب امدنع ةيبرعلا دالبلا يف ةيكلملا ماظن يف يلع |	ناطلسلا ةوق تأدب امدنع ةيبرعلا دالبلا يف ةبكلملا ماظن يف ىلعف
هيلا راشملا باتكلا يف امهتبثاو نأشلا اذه يف يارغ امهارجا رابت |	؛نلا راشملا باتكلا ىف اهتيثاو نأشلا اذه يف يارغ اهارجا رامتخا
كلذكو . نيينعملا ضارقنا دعب نييباهشلا ىلا ةرامالاب دهع ةيناقم |	كلذك و .نيمنعملا ضا رقنا دعي نيساهشلاىلا ةرامالاب دبع ةيناقمس
كلاذب نوكي هنأل ءيش هل نكي مل ناقح امهن : لاقوً اعيجم نادهاشلا |	كاذب نوكي هنآل ءيش هل نكي مل ناقح امهنا : لاقو ًاعيمج نادهاشلا
اـيندلا وطخت نا تعطتسا ناف نوقابلا قرغيسو نوضاملا اهيف قرغ دق |	ايندلا وطخت نأ تعطتسا ناف ثوقاملا قرغيسو نوضاملا اهمف قرغ دق 
. نيساسب صمقت دوقرم وه : سيدقلا اذه رما نم ينرماخي ام كل تلق  |	.نيساسب صمقت دوقرم وه: سيدقلااذه سما نميفرما# ام كل تلق اذا ر
. نيماقملا نيب سبحلا : ةفقولا				      |	. نيماقملا نيب سسحلا : ةفقولا
ةـقطنملا ريخ هيف امل ةدافتسالا دودح ىصقا ىلاو ةيئاملا دراوملا |	ةقطاملا ريخ هنف اامل ةدافتسالا دودح ىصقا ىلآو ةيناملا دراوملا
ناـجللا لمعتو تاعامتجالا دقعتو تارضاحملا اهيف ىقلتو اليوط هذه |	ناجللا ليعتو تاءاتجالا دقعتو تارضاحملا اهيف ىقلتو اليوط هذه م
يتلا تالقنتلا ةرثك هيلا تدا يذلا صصختلا مدع نع ًاجتان تارازولا |	يتلا تالقنتلا ةرثك هيلا تدا يزلأ صصختلا مدع نع أمّتان تارازولا
. سانلا ريهامج لوانتم يف نوكي اًلقن ةفاقثلا لقنت يتلا ةديحولا  |	. سانلا ريهامج لوانتم يف نوكي اّلقن ةفاقثلا لقنت يثلا ةديحولا 
. نوعمش ليمك سيئرلا					      |	. نوعمش ليمك سيبرلا
. ملاعلا قطانم						      |	. ملاعلا قطاذم
دعب ةنس ةدحتملا ممالا ةئيه ىنبتت نا ريكفتلاو ةشهدلا ىلا وعدت  |	دعب ةنئس ةدحتملا ممالا ةّئيه ىنبتت نرا ريكفتلاو ةشهدلا ىلإا وع
بتك اـهنيبو بتكلا نومجرتي هذيمالتو ةعافر ذخاو يواطهطلا ةعافر  |	بتك ابذنيو بتكلا نومجرتي هذيمالتو ةعافر ذخأو يواطبطلا ةعافر د
: يلي امب ةتقوملا ةيذيفنتلا ةطلسلا فلكتيس - ش		      |	: ىلي امب ةتقوملا ةيذمفنتلا ةطلسللا فلكتيس -- ش
وا مهسفنا ةـنجللا وفظوم اهب ماق يتلا ةروشنملا تاساردلاو ثوحبل |	وأ مهسفنا ةنحللا وفظوم اهب ماق ىتلا ةروشنملا تاساردلاو ثوحبلا
. ايروس يف ةذفانلا					      |	. انروس ىف ةدفانلا
ةخسن اهنأ ىلع ةطوطخملا كلت نم هباتك يف اهجردأ يتلا جذامنلا لد |	ةخسن اهنأ ىلع ةطوطخملا كلت نم هباتك يف اهجردأ ىتلا جذامنلا لد
ساـنلل مجارت ىلع يوتحي رخآ مسق يرمعلا باتك نم يفارغجلا مسقلا  |	سانال مجارت ىلع يوتحي رخا مسق يرمعلا باتك نم يفارغجلا مسقلا ى
١١/١ ةنايسبجالا دمحا ما					      |	(١/١  ةنايسبيجالا 03--- دمحا م
ًالدعا ًاقحمً افيرتص اهفرصي نا نيفظوملا ناويد عـيطتسي يتلا قوقحل |	الداع أقعم ًافيرصت اهفرصي نا نيفظوملا ناويد عيطتسي يتلا قوقللا
ًاينف اًليلمع اًلكش ةساردلا ذختت ةقيرطلا هذهبف . ةيسردم ةرشن راد |	ًاينف اليلمع الكش ةساردلا ذخيتت ةقيرطلا هذببف . ةيسردم ةرشن را
هردص حتف يقيدص نا وه هلجال ىلوملا تركشو ًاريثك ينع ففخ يذلا نك |	هردص ميتف يقيدص نأ وه هلجال ىلوملا تركشو ًاريثك ىنع ففخ يذلا ن
ًابئان يلكشيشلا بيدا ديقعلا ةيمستب رخآ موسرم ردصو ءارزولا سلجم |	ايئان ىلكشيشلا بيدا ديقعلا ةيمستب رختآ موسرم ردصو ءارزولا سلج
. دالبلا ءاحنا فلتخم يف ىرخا ةينارمع			      |	. دالبلا ءاثأ فلتع يف ىرخا ةنارمح
. يفاقتلا صلجملا - ج . يداصتقالا سلجملا - ب . عافدلا سلجم - ا |	. يفاقتلا صاخملا-ج . يمداصتقالا سلجحملا -ب  . عافدلا سلي ا
. يرطيبلا						      |	. ىرطسلا
الو . ىحصفلا زيكرتل ةدينع ةلواحم عم ةيبعشلا مهافتلا تاجهل     |	الو . ىحصفلا زيك رتل ةدينع ةلواحم معم ةيسعشلا مهافتلا تاحم
. مويلا اذه خيراتب دوقعملا ةيفصتلا قافتا يف لخدي مل يذلا ءزجل |	. مويلا-اذه خيراتي دوقعملا ةيفصتلا قافتا يىف لخدي مل يذلا ءزخ
. ةديدجلا ثادحالا هاجت لئاسولا دادعال ةصرف ةموكحلا طعي مل ريص |	. ةديدهلا ثادحالا هاحن لئاسولا دادعال ةصرف ةموكتلا طعي ملديصت
يتلا ةيرادإلا ةئيبلاب متهت نأ بجي ةيرادإلا ةفرعملاف . يرادإلا |	ىتلا ةيرادإلا ةئيبلاب متبع نأ بجي ةيرادإلا ةفرعملاف . يرادإلا
ةيمألا ةحفاكم ةلمح					      |	ةممألا ةحفاكم ةلمح
ةعقر عاستا نم مغرلاب ذا .ً اضاي قارعلا قطانم ضعب ىلع هسفن ءيشل |	ةعقر عاستا نم مغرلاب ذا . أضيا قارعلا قطانم ضعب ىلع هسفن ءىشل
سرادم لعج يذلا ببسلاو . سرادملا هذه ةرايزل رطق لك نم نودفاوتي |	سرادم لعج يذلا ببسلاو . سرادملا هذه ةرايزا رطق لك نم نودفاوتي
لاحرل رفغا مهللا - ١					      |	لاحرل رفعا مهللا -١
. يركسعلا يكريمالا لخدتلل ةجيتن نانبل يف نييلودلا نيبقارملا ل |	. يركيسلا ىرمالا لخدتا ةجيتن ثانيل يف نييلودلا نيبقارملا لامت
يف زيزعلا دبع ورتايتب هحرسم ىلع ةمجرتلا هذهب ةيحرسملا هذه لثم |	يف زيزعلا دبع ورتايتب هحرسم ىلع ةمجرتلا هذبب ةيحرسملا هذه لثم
اـصرفلا هنم راهزاللا بهنت				      |	ابصرفلا هنم . راهزإلا ببثتت
برحلا تائيس مهلمحت دعب مالسلا تاريخ ىلا نونحي اوذخا نيذلا ىرخ |	نرللا تائيس مهاسحن دعب مالسلا تاريخىلانونجي اوذخا نيذلا ىرخال
نيينادوسلل اهلالخ ةدايسلا				      |	نينادوسال اهالخ ةداسلا
نررالا تناكو . ةيليئارسالا يضارالا ىلا نيراحسلا ةليبق نم لحرل |	نررالا تناكو . ةيليئارسالا يضارالا ىلا نيراحسلا ةلبق نه لحرلا
. ررضلا هقحل يذلا صخشلل ةبه اهمدقت ةفلاتلا ةعاضبلا وا ةقراغلا |	,ررضلا هقُح يذلا صخشلل ةبه اهمدقت ةفلاتلا ةعاضبلا وا ةقرافلا ة
ةدحتملا ةيبرعلا ةيروهمجلا ةموكح ىلا تبلط اهنا ةيقارعلا ةيجراخ |	ةدجتما ,ةيب رعلا ةيروبمحا ةموكح ىلا تيلط امنأ ةيقارعلا ةيحراخ
ةيكاطنا ىلا ةجنرف كلم نم مهعم ام عيمجو ةدوعلاو كسملا نوعيبيف  |	ةيكاطنا ىلا ةثرف كلم نم مبعم اه عيمجو ةدوعلاو كسملا نوعيبيف ا
ضعبو ييايفوسلا داحتالا ماق ةريخالا نينسلا يف هنا ملعلا عم اذه |	ضعبو يتايفوسلا داحتالا ماق ةريخالا نينسلا يف هنأ ملعلا عم اذه
مهلمع يف مهدعاسي خويش ديب مومعلا هجوب ةيفيرلا قطانملا ةرادا ت |	مهلع يف مثدعاسي خومش ديب مو.علا هجوب ةيفيرلا قطانملا ةرادا تن
. ةيليئارسالا دودحلا نم نيبيرقلا ةيوازلاو ةرطينقلا يئاضق ادع  |	. ةيليئارسالا دودخلا نم نيسرقلا ةوازلاو ةرطبنقلا يناضق ادع
راثآلاو نامثلا تاقبطلاب ةينبالا فصو عقوملا اذه رايتخا ىلا تدح |	راثالاو ناملا تاقمطلاب ةينبالا فصو عقوملا اذه رايتخا ىلا تدح 
عيضاوم تناكف ىربكلا ةيبرعلا ةرادإلا تالكشم سردب تس ناجل ىلا د |	عيضأ وم: تناكف ىريكلا ةيبرعلا ةرادإلا تالكشم سردب'تس ناجل ىلا
: ةرامحلا نبا نيحلت نم روهشملا رعشلاو			      |	: ةرامحا نبا نيحلت نم رووشملا رعشلاو
يذلا لجرلا ةقيقح ىلإ لوصولا يف حجني نأ اهتطساوب كلملل نكمي ةد |	ىذلا لجرلا ةقيقح ىلإ لوصولا ىف حجني نأ اهتطساوب كلملل نكمي ةد
نمم مهريغ [الو ....] نبا الو يدوج نبا الو ةرامحلا نبا الو ةجا |	نمم مهريغ | الو.... | نباالو يدوج نباالو ةرامحلا نباالو ةجاب 
ملعا هللاو نيعلا [ىأر] ىر [هتدهاش] هتهاش ام اذهو ىناديملا دي  |	ملعا هللاو نيعلا ] ىأر [ ىر | هتدهاش [ هتهاش ام اذهو ىنادمملا
. ةيبنجا						      |	. ةيسنجأا
ةسايسلاب وا خيراتلاب وه امو داصتقالاو ةسايسلاو خيراتلاو ملعلا |	ةسايسلاب وا خيراتلاب وه امو داصتقالاو ةسايسلاو خيراتلاو .ملعل
. امهنيب						      |	+ امهنيب
ةنيدم يهو ةينيطرب ةنيدم ىلا يهتنت يتح رهشا ةعبرا ريستف جرخت ا |	ةنيدم يهو ةشطرب ةنيدم ىلا يبثنت ىح ربشا ةعبرا ريستف جرخت اهلم
نودوعي اهتراحبو تيوكلا راجتف . جراخلا يف ةمئادلا هتماقا مهدحا |	تودوعي امراحمو تيوكلا رادتف .جراخلا يف ةئادلا هتماقا هدحا ذْخَت
نع برعلا اهثرو دـيلاقتو تاداعب زيمتت اذه بناج ىلا ةيبرعلا ةاي |	نع برعلا اهثرو دللاقتو تاداعي زيمثت. !ذه سناج ىلا ةيبرعلا ةاي
ريرحتلا سيئر						      |	ربرحتلا سيئر
ةوهش ايندلا نم يطعا نم لكو . هتبغر ةرخآلا نع تلق همه ايندلا ت |	ةوبسامندلا نم ىطعا نم لكو . هتيغر ةرخآلا نع تلق همه انندلا تن
خارفلاو كمسلاو يلقابلاك اهريخبت رثكي يتلاو نارفعزلاو ةعيملاو  |	خارفلاو كتمسلاو ىلقابلاك اهريخبت رشلكتي يلاو نارفعزلاو ةعئيمل
يبويألا يرحبلا لوطسألا					      |	يبويآلا يرحبلا لوطسألا
اهنكمي ال ةيقالخا ةيبقانم ةيرظن ساسالا يف يه ثيح نم اهناو . ي |	ابكتم ال ةيقالخا ةيبقاغم ةيرظل سابسالا يف يف ثيح نف اهناف . ي
. ةماع ةفاقث ىلا بعشلا ةجاح ءامعزلا مهفت ىلع فقوتت	      |	. ةماع ةفاقث ىلاسعشلاةحاح ءامعزلا مهفت ىلع فقوتت
تناك ةعانصلا نا يا لماك لكشب مهريغ نع تاعانصلا اوذخا يسابعلا  |	تناك ةعانصلا نا يا لماك لكحثب مريغ نع تاعانصلا اوذخا يمايعلا 
دادعالل يقيرفالا زكرملا : لاثملا ليبس ىلع اهنم ركذن اهتامهمب  |	دادعالل يقيرفالا زك رملا : لاثملا ليمس ىلع اهنم رك ذن اهتاهمب
ةينطولا حلاصملا قيقحت ىلع ممصملا لمعلا يه اـهتمهمف . ةيبيرجتل |	ةينطولا حلاصملا قيقحت ىلع. ممصملا لمعلا يه اهتمههش . ةيبيرحتل
. هدج يف نيضوفملا مهئارزوو ةيبنجالا لودلا لصانق نم مهرصاع نمم |	. هدح يف نيضوفملا مهغارزوو ةيبنحالا لودلا لصانق نم ممرصاع نمم
نييفحصلا ىلا نوعمتجي نيلوؤسملا لاـجرلا ةيبنجالا نادلبلاو ةيبر |	نيفحصلا ىلا توعمتمي نيللوؤسملا لاجرلا ةسنحالا _'رادلبلاو ةيبر
الو . ءانغلاو صقرلا اهللختي ةجهبم ةحرم ةرتف ءاضقل نوتأي ةرواج |	الو . ءانغلاو صقرلا اهالختي ةجهمم ةحرم ةرتف ءاضقل نوتأي ةرواو
ريرحتلا ةنجل						      |	ريرص ني
نا نكمي لاملا سأر يف ريفوت نم كلذ عبتي ام نا . ةريغصلا ةيجاتن |	نا نكمي لاملا سار يف ريفوت نم كلذ عبتي ام نأ . ةريغصلا ةيجاتن
مه طسوالا قرشلا يف تاموكحلا يفظومو لامعالا باحصا نا فورعملا   |	مه طسوالا قرشلا يف تاموكحملا يفظومو لامعالا باحصا نأ فورحملا
. ةيلاملا اهئابعاب مايقلا نم اهنيكمتل ةلاكولا قودنصل عربتلا ى |	. ةيلاملا امابعاب مايقلا نم اهننكدلل ةلكولا ىودنصل عربتلا ىلع
ةنيدملا ةالو						      |	ةديدملا ةالو
