. سميج . ربرث						      |	. سميج . ربرت
١٩٦٢ ةنس ناريزح فورص داؤف : ريرحتلاسيئر ٢ ءزجلا - ١٥ ةنسلا    |	١٩٦٢ ةنس ناريزح نورصواوف . ررحاارسرو ٢ ءزجلا - ١٥ ةنسلا
اياضق يف كلذ نم يهتني ام اريثكو ظافلالاب فرصتلا نسحي يذلا نان |	اياضق يف كلذ نم يهتني ام اريثكو طظافلالاب فرصتلا نسحي يذلا نا
لـبقلا تاـيهشم يناوحقألا اـهرغث اياـنث مـساـبملا رـمح	      |	لبقلا تايهشم يناوحقألا اهرغث ابانث ممابملا رمح
دیعن ناب ،هل لکش ال نایک ىلا وا ،ينیتسرکورب شارف ىلا لوحتت نا |	ديعن ناب ،هل لكش ال نايك ىلا وا ،ینيتسرکورب شارف ىلا لوحتت نا
اـهنوک ثيح نم يا ةقالعلا هذه نم ةدمتسملا كلت ىوس ةقيقح نم اـه |	اهنوك ثيح نم يا ةقالعلا هذه نم ةدمتسملا كلت ىوس ةقيقح نم اهل 
.ً اضاي باتكلل						      |	. ًاضيا باتكلل
يف فلؤملا دامتعا ىلا عجار اذه لعلو ،ً اناياح طبارتلا ضعب اهصقن |	يف فلؤملا دامتعا ىلا عجار اذه لعلو ،ً انايح طبارتلا ضعب اهصقني
ءاضعالا تاجاح اـهبلطتت يتلا ىرخالا ةيعارزلا تامدخلا عـيمجب ما |	ءاضعالا تاجاح اهبلطتت يتلا ىرخالا ةيعارزلا تامدخلا عيمجب مايق
قلطن نا نكمي ام ،يناـنبللا لمعلل يخيراتلا روطتلا يف اهمهاو ،ل |	قلطن نا نكمي ام ،نانبللا لمعلل يخيراتلا روطتلا يف اهمهاو ،لام
یف عارذ / مهتیار / [تناك] و یمعثخلا ةعيبر نب رشب معثخ ةيار ىل |	يف عارذ / مهتيار / [ تناك ] و ىمعثخلا ةعيبر نب رشب معثخ ةيار 
وکسنویلا مقت مل اذاو .ً اضاي كلذل هبـنت نا وكسنویلا بجاو نمف م |	وكسنويلا مقت مل اذاو . ً اضا كلذل هبنت نا وكسنويلا بجاو نمف مه
امو . وحنلاو فرصلا هتفرعمب اـهل ةقث الو ،اهابا قدصت ال ىده نك |	امو . وحنلاو فرصلا هتفرعميب اهل ةقث الو ،اهابا قدصت ال ىده نك
ام ًاريثك مهزايحنا ناف ةفلتخملا ةيعامتجالا تافسلفلا نيب مئاقلا |	ام ًاريثك مهزايحنا ناف ةفلتخملا ةيعامتجالا تافسلفلا نيب مئاقلا
ناتنثا اهنم ابيرقت نوعبرا ةكلمملا ىف ةثيدحلا ةيئادتبالا سرادم |	ناتنثا اهنم ابيرقت نوعبرا ةكلمملا يف ةثيدحلا ةيئادتبالا سرادم
: تلق . هيمدق عضوب يسركلاو شرعلل سامم هنأ هبشألاو ،هألم دق هش |	: تلق . هيمدق عضوب يسركلاو شرعلل سامم هنأ هبشألاو ،هالم دق هش
رخآ دلب ىلا ةعلسلا كلت عنص لقن ام اذاف . ريخلا يف ةدايزف ًانكم |	رخآ دلب ىلا ةعلسلا كلت عنص لقن ام اذاف . ريخلا يف ةدايزفًانكمم
لمعلل تاعامتجا اهنا ساسا ىلع ةمظتنم ةروصب هذهك تاعامتجا ينبت  |	لمعللا تاعامتجا اهنا ساسا ىلع ةمظتنم ةروصب هذهك تاعامتجا ىنبت
،ةدج ،٢ ط ،عـيزوتلاو رشنلل ةيدوعسلا رادلا ،دوعوملا سودرفلا ثی |	،ةدج ،٢ ط ،عيزوتلاو رشنلل ةيدوعسلا رادلا ،دوعوملا سودرفلا ثيد
نم ةيلامشلا قطانملا تناك رشع عباسلا نرقلا ةياـهن يفو . دالبلا |	نم ةيلامشلا قطانملا تناك رشع عباسلا نوقلا ةياهن يفو . دالبلا 
نيخرؤملا صعب دجن یطسولا روصعلا يف ةيهازلا برعلا خيرات ةرتف يف |	نيخرؤملا ضعب دجن ىطسولا روصعلا يف ةيهازلا برعلا خيرات ةرتف يف
وا . اهتدابا ةيفيكو اهتشيعم قرطو تاعورزملاب ةرضملا تارشحلا سر |	وا٠ اهتدابا ةيفيكو اهتشيعم قرطو تاعورزملاب ةرضملا تارشحلا سرد
ةـمزا يه رخآ ىنعمبو ،مويلا ةيطارقميدلا هجاوت يتلا ةديدجلا ةلك |	ةمزا يه رخآ ىنعمو ،مويلا ةيطارقميدلا هجاوت يتلا ةديدجلا ةلكشم
زاجحلا ةرادإ						      |	زاجبا ةرادا
مهريغ دـحال قحي الو . تاوصالا زرفو تيوصتلا تايلمع بقاريو رضحي |	مهريغ دحال قحي الو . تاوصالا زرفو تيوصتلا تايلمع بقاريو رضحي 
نيلثمم دوجو ىلع يوطني مسالا نال انه مسالا اذه اهيلع قلطا نل ي |	نيلثم دوجو ىلع يوطني مسالا نال انه مسالا اذه اهيلع قلطا نل ين
يف ةديحولا ةيضقلاب تسيل لمعلا نع ةلاطبلاو . سمشلا يف امامجتسا |	يف ةديحولا ةيضقلاب تسيل لمعلا نع ةلاطلاو سمشلا يف امامجتسا ،م
اهتمارک عاجرتسا تلواح دقف ًامكحم ًارصح ةيموقلا اـيناملا دودح تر |	اهتمارك عاجرتسا تلواح دقف ًامحكحم ًارصح ةيموقلا ايناملا دودح تر
. تایرحلا هذه نم دحت يتلا				      |	. تايرحلا هذه نم دحت يتلا
ءارزولا تارايس يقئاس نم امبرو ،ناويد ىلا ناوید نم قاروالا نول |	ءارزولا تارايس يقئاس نم امبرو ،ناويد ىلا ناويد نم قاروالا نول
نمو ،مالعإلا لئاسو لالخ نم الإ عساو لکشب نینطاوملا ىلإ لصت نأ |	نمو ،مالعإلا لئاسو لالخ نم الإ عساو لكشب نينطاوملا ىلإ لصت نأ
. يبرعلا قرشلا خيرات تلمش يتلا ةمجرتلاو فيلأتلا ةكرح طشنت نا  |	. يبرعلا قرشلا خيرات تلمش يتلا ةمجرتلاو فيلأتلا ةكرح طشنت نا 
